180,,,,
2,30,137,153,171
1,5,0,6,3
2,7,17,1,5
3,10,4,14,1
4,11,15,13,4
5,7,9,15,3
6,12,0,3,5
7,12,0,14,5
8,5,18,12,3
9,17,14,7,2
10,16,12,10,3
11,11,0,3,3
12,9,7,13,1
13,14,18,14,3
14,19,15,11,3
15,18,17,5,2
16,12,5,5,5
17,6,2,13,1
18,10,4,7,4
19,9,4,5,5
20,14,20,3,1
21,19,18,11,4
22,14,17,6,2
23,8,13,5,5
24,16,2,3,2
25,9,18,2,3
26,16,0,13,1
27,11,20,14,1
28,19,14,15,4
29,9,2,15,2
30,12,16,15,2
31,19,14,4,3
32,6,17,3,1
33,17,13,7,2
34,12,16,12,3
35,14,8,9,5
36,15,8,10,4
37,20,13,14,3
38,19,1,5,2
39,14,1,10,1
40,20,7,6,2
