111,,,,
26,34,46,80,109
1,14,14,13,5
2,10,11,10,1
3,16,3,11,1
4,8,5,9,2
5,14,11,8,3
6,13,13,11,3
7,9,0,13,5
8,10,8,9,4
9,15,7,5,4
10,18,10,7,2
11,17,3,8,1
12,10,4,9,4
13,18,1,12,1
14,7,13,7,4
15,7,8,12,4
16,12,4,7,4
17,19,6,12,2
18,8,6,15,5
19,10,6,7,5
20,10,1,9,5
21,9,0,6,3
22,11,5,7,4
23,16,12,5,5
24,15,5,11,4
25,20,2,15,4
26,9,11,12,5
27,15,15,13,1
28,17,10,10,5
29,9,13,7,1
30,20,10,9,3
31,5,1,15,1
32,12,3,9,5
33,19,5,12,5
34,5,15,11,3
35,14,11,14,5
36,19,15,11,2
37,14,14,15,3
38,8,9,14,2
39,8,7,7,3
40,6,14,11,5
41,20,13,5,4
42,18,12,15,5
43,6,14,12,5
44,11,11,14,2
45,7,2,14,2
46,13,7,5,3
47,15,12,8,2
48,5,8,12,4
49,14,6,9,4
50,15,8,14,1
51,8,5,15,3
52,13,15,15,1
53,12,11,11,3
54,14,15,6,5
55,7,8,8,1
56,17,10,14,5
57,15,0,13,2
58,19,0,13,3
59,13,4,5,2
60,8,6,12,5
61,6,2,5,2
62,13,6,11,5
63,8,2,9,4
64,11,7,10,5
65,18,7,15,5
66,12,10,15,2
67,12,15,14,5
68,12,10,13,1
69,8,4,14,1
70,9,5,6,4
71,11,2,7,5
72,16,14,15,3
73,12,0,6,3
74,15,1,8,3
75,12,8,6,2
76,11,8,14,5
77,9,8,8,3
78,15,11,12,5
79,5,3,7,2
80,20,9,8,1
