100,,,,
8,37,86,92,99
1,22,9,3,4
2,1,15,30,4
3,11,7,11,3
4,25,27,12,4
5,13,17,14,3
6,14,14,9,1
7,6,11,25,5
8,5,11,3,4
9,9,26,2,2
10,10,9,3,3
11,16,3,2,2
12,1,4,17,4
13,26,24,28,4
14,7,23,20,3
15,18,9,30,3
16,28,7,5,5
17,8,4,11,1
18,24,23,7,5
19,24,16,21,2
20,5,27,28,3
21,2,27,5,5
22,21,13,11,3
23,16,3,5,3
24,20,4,19,5
25,11,4,13,4
26,13,10,25,3
27,30,2,29,4
28,27,4,25,1
29,16,7,27,4
30,10,26,9,2
31,13,26,7,4
32,5,27,26,5
33,18,25,11,5
34,10,4,16,3
35,17,24,3,4
36,28,9,2,3
37,28,5,7,3
38,19,30,27,4
39,21,15,4,1
40,24,7,2,1
