199,,,,
138,165,180,189,194
1,5,13,11,2
2,16,7,11,1
3,6,12,15,2
4,13,4,4,2
5,14,19,14,1
6,13,9,7,3
7,13,2,12,3
8,19,15,7,2
9,15,17,10,4
10,19,14,10,3
11,6,20,7,4
12,8,4,9,4
13,13,5,5,5
14,20,11,11,2
15,12,3,1,2
16,18,7,4,3
17,9,11,6,4
18,8,10,13,1
19,12,5,8,2
20,5,17,9,1
21,12,17,10,3
22,19,5,5,4
23,9,18,7,5
24,20,2,7,5
25,19,17,6,3
26,11,11,12,4
27,18,12,2,5
28,5,18,5,4
29,12,0,15,3
30,9,12,12,5
31,7,3,10,1
32,16,6,2,5
33,7,8,15,3
34,8,0,6,1
35,9,9,1,4
36,20,7,14,1
37,14,8,2,4
38,11,19,4,4
39,6,16,8,2
40,9,13,13,5
