165,,,,
44,82,128,157,163
1,20,10,15,1
2,17,5,6,2
3,8,4,7,1
4,18,17,2,2
5,14,1,3,1
6,17,13,1,1
7,6,13,15,2
8,14,9,1,2
9,17,0,13,3
10,14,1,11,1
11,6,17,4,1
12,19,9,5,1
13,16,10,5,5
14,14,18,3,3
15,14,7,5,1
16,14,6,2,1
17,9,5,13,3
18,19,0,7,3
19,7,11,8,5
20,18,11,2,5
21,10,20,10,4
22,16,11,11,3
23,16,16,8,2
24,14,8,2,4
25,6,14,7,1
26,12,3,9,3
27,12,8,1,4
28,10,7,10,1
29,14,5,4,4
30,17,19,3,5
31,13,16,15,2
32,7,15,8,4
33,13,6,15,3
34,11,7,12,1
35,11,18,14,4
36,7,20,14,3
37,13,5,14,3
38,7,12,11,5
39,15,2,13,1
40,5,13,6,1
