96,,,,
8,38,55,87,95
1,16,15,10,3
2,19,12,14,1
3,6,11,3,2
4,15,1,12,5
5,6,0,8,1
6,17,14,2,1
7,15,3,5,2
8,13,11,13,1
9,16,4,9,4
10,8,1,2,3
11,18,9,9,5
12,19,10,7,4
13,7,19,8,1
14,17,18,6,1
15,5,1,6,4
16,13,4,14,2
17,7,3,10,3
18,18,16,10,3
19,14,19,3,4
20,19,4,14,5
21,19,13,8,5
22,16,14,10,5
23,13,14,13,2
24,14,16,3,1
25,5,8,11,5
26,9,14,12,3
27,18,5,11,1
28,13,5,14,3
29,5,8,5,3
30,7,8,15,1
31,15,5,13,1
32,16,12,2,2
33,18,2,7,4
34,6,12,4,3
35,8,6,13,2
36,15,10,4,2
37,14,14,9,4
38,5,9,2,5
39,6,3,6,3
40,14,3,7,1
