129,,,,
35,58,101,107,118
1,8,8,5,2
2,7,17,3,4
3,12,18,4,5
4,6,10,1,1
5,18,18,2,4
6,20,2,12,3
7,10,8,14,4
8,17,6,8,4
9,17,17,14,2
10,5,8,14,4
11,17,1,3,3
12,6,3,9,3
13,5,10,14,1
14,10,15,1,5
15,7,8,3,1
16,17,7,1,2
17,9,5,15,4
18,10,7,13,2
19,6,19,11,2
20,14,8,4,5
21,8,3,7,5
22,6,1,7,3
23,5,1,4,2
24,18,14,10,2
25,13,2,7,3
26,18,18,11,5
27,7,11,4,1
28,7,16,5,2
29,15,11,8,2
30,6,11,3,5
31,5,12,12,1
32,13,10,2,2
33,12,7,7,2
34,16,9,10,3
35,20,16,6,2
36,8,20,1,3
37,17,18,9,5
38,6,14,4,3
39,15,18,8,2
40,20,20,10,5
