67,,,,
23,30,43,59,66
1,17,1,2,4
2,11,17,8,5
3,7,16,1,4
4,16,10,15,4
5,7,8,11,2
6,15,5,8,2
7,20,6,1,2
8,17,20,10,2
9,7,4,15,5
10,9,7,14,2
11,6,7,13,4
12,20,19,14,3
13,14,2,12,3
14,12,10,1,5
15,14,6,7,3
16,6,8,1,1
17,7,11,15,3
18,8,1,12,3
19,7,1,9,1
20,9,2,2,4
21,12,19,9,5
22,11,12,8,1
23,6,9,10,5
24,12,9,10,2
25,9,3,2,2
26,13,3,10,1
27,10,5,6,1
28,19,2,14,5
29,7,2,12,3
30,17,4,9,1
31,17,2,13,5
32,8,12,9,4
33,8,1,5,4
34,12,12,10,2
35,5,1,12,2
36,8,14,13,2
37,15,14,13,3
38,6,3,14,5
39,11,1,6,1
40,12,2,12,2
