index,mooring time,starting berth position occupied
4,2,0
10,14,0
18,54,0
29,101,0
43,144,0
23,173,0
27,216,0
22,101,28
1,14,76
3,10,59
38,14,30
2,265,0
25,307,0
35,336,0
15,216,28
21,358,0
31,251,20
33,399,0
9,415,0
19,358,28
49,460,0
30,260,28
12,36,67
20,463,0
6,275,35
28,415,18
36,486,0
48,518,0
11,552,0
13,601,0
42,303,36
44,627,0
24,672,0
37,693,0
39,627,25
40,326,48
41,739,0
26,387,28
50,783,0
45,693,21
7,804,0
5,845,0
14,783,43
34,854,0
47,868,0
8,725,21
16,260,59
32,639,25
46,355,54
17,66,60
Cost,57254
Time to process,187.20765829086304
