index,mooring time,starting berth position occupied
22,2,0
19,3,71
8,4,77
12,4,23
14,14,77
36,25,20
45,17,46
1,26,59
28,46,0
43,6,97
15,46,96
29,52,77
4,36,32
2,27,36
17,50,36
5,17,32
25,20,70
32,36,54
35,64,0
16,29,83
40,64,77
26,85,0
7,50,59
21,36,46
31,92,77
33,46,79
49,61,46
27,93,27
18,120,0
46,120,77
11,148,0
37,148,77
38,61,25
9,93,0
34,163,20
44,72,21
50,120,30
23,66,75
42,144,59
3,144,46
30,181,0
41,173,77
10,96,46
6,50,93
39,46,59
24,152,24
13,122,46
20,192,0
47,216,0
48,93,59
Cost,12170
Time to process,51.90555191040039
