index,mooring time,starting berth position occupied
7,0,17
21,0,0
57,0,80
58,13,46
73,0,34
13,26,46
20,26,64
31,13,0
74,6,65
25,38,46
45,14,26
61,13,34
63,2,101
71,6,35
3,66,80
11,5,46
32,14,80
79,23,34
12,35,80
16,30,34
59,13,13
69,33,26
4,5,26
22,13,92
24,14,65
33,18,5
70,30,0
51,53,101
17,35,90
18,37,38
19,28,80
49,52,66
60,23,101
62,30,9
9,41,0
39,53,80
46,47,80
64,47,0
65,77,0
8,23,91
15,90,26
48,52,34
50,102,80
55,92,80
75,52,14
76,88,46
77,64,34
38,77,34
80,53,46
10,92,91
28,77,46
30,61,60
56,116,80
66,102,0
68,97,34
2,66,46
5,41,66
26,102,46
35,87,66
44,72,69
53,77,80
78,77,92
23,130,0
42,110,62
47,135,0
6,130,80
14,72,27
29,110,17
41,72,6
1,57,0
40,110,34
37,130,93
52,114,46
27,125,59
34,143,80
36,141,46
43,79,20
72,143,0
67,125,34
54,121,0
Cost,16205
Time to process,148.21497702598572
