index,mooring time,starting berth position occupied
5,0,35
9,0,0
29,0,14
44,10,0
68,6,42
46,10,14
80,10,27
13,15,37
16,22,14
17,23,67
50,37,0
75,23,41
4,27,0
19,6,59
20,27,15
39,6,68
52,42,67
63,30,38
73,54,0
8,36,17
43,54,21
57,23,62
74,43,45
22,28,76
23,56,37
30,43,0
53,60,19
61,67,37
66,59,7
14,39,59
72,70,20
7,65,0
10,42,31
15,50,59
49,78,0
56,78,19
67,22,26
69,93,0
77,37,28
78,105,0
79,105,13
18,89,31
45,120,0
55,119,13
59,119,25
2,129,0
6,127,43
21,98,19
24,81,37
26,141,0
32,134,17
47,141,11
64,148,11
37,153,39
40,140,26
51,56,47
11,148,27
48,155,0
62,160,20
25,166,9
27,181,0
31,140,67
33,181,17
35,166,41
3,187,35
38,195,0
60,169,20
65,208,0
70,208,15
76,43,21
34,190,0
54,190,18
42,216,15
71,98,35
28,216,67
41,105,38
36,178,37
58,195,18
1,86,54
12,195,34
Cost,23284
Time to process,138.99467587471008
