index,mooring time,starting berth position occupied
9,0,137
10,0,122
17,0,0
51,0,8
31,1,54
35,1,26
49,10,68
21,2,80
23,2,96
5,5,124
13,7,96
18,6,48
29,17,68
40,5,116
56,6,0
62,12,137
64,12,106
38,7,63
54,6,15
69,32,0
3,5,36
4,20,137
27,17,102
66,17,75
7,13,22
8,25,81
12,21,34
30,36,137
33,17,16
37,23,0
57,94,21
59,36,17
65,25,19
68,23,131
16,36,35
20,107,68
48,49,6
50,38,117
22,62,0
60,68,68
6,46,137
32,33,68
36,107,137
58,44,68
61,10,81
63,85,137
19,62,42
25,85,19
42,94,0
26,86,68
43,49,21
44,68,0
70,55,28
34,29,104
39,68,63
41,95,35
67,69,119
24,93,87
28,49,68
47,61,106
55,93,61
46,95,68
1,23,98
45,75,68
11,61,85
53,62,138
14,34,94
2,77,0
15,101,120
52,108,0
Cost,8716
Time to process,125.21312236785889
