index,mooring time,starting berth position occupied
5,0,129
26,0,0
35,0,66
58,0,57
12,1,99
30,1,18
50,1,111
60,14,0
2,2,28
7,2,82
15,2,118
18,11,84
47,12,19
48,12,30
52,2,49
55,2,39
11,23,19
13,37,16
20,14,99
33,13,37
43,23,118
56,16,128
10,47,99
21,20,106
1,32,128
6,54,82
57,32,99
14,35,64
38,118,14
4,30,86
9,8,54
23,14,137
41,35,35
17,17,65
22,47,18
28,48,65
46,57,70
16,24,3
59,95,14
19,127,99
36,42,56
37,48,35
44,69,99
45,35,82
29,25,37
31,57,35
34,60,118
39,57,53
49,69,128
27,109,47
42,67,14
3,35,48
8,79,29
40,53,99
53,67,30
32,86,99
25,86,82
51,79,65
54,47,90
24,104,82
Cost,7234
Time to process,90.73097324371338
