index,mooring time,starting berth position occupied
27,1,9
5,2,59
23,15,52
9,35,0
21,29,13
37,5,1
4,47,94
10,35,52
8,7,89
24,50,0
16,14,32
32,76,52
1,60,27
42,60,52
2,47,69
15,15,42
22,89,0
36,76,0
3,89,52
41,66,64
14,116,52
26,140,0
48,47,32
33,154,52
49,94,19
6,89,70
12,66,42
25,47,52
44,94,0
11,40,57
20,120,74
17,173,52
43,196,52
45,60,0
30,72,75
31,226,0
46,47,26
50,45,56
35,246,0
7,271,52
19,226,52
38,271,0
40,120,14
13,289,52
34,311,52
39,124,93
47,29,42
28,107,91
18,154,8
29,325,0
Cost,15913
Time to process,62.16052031517029
